Table: Total Renewable Electricity Net Generation (Billion Kilowatthours);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
Chile;;7.443;7.693;8.589;9.131;9.523;10.543;11.572;12.283;11.665;9.812;12.175;13.348;17.19;17.77;17.532;20.5004;19.7808;19.6175;16.6263;14.4984;20.4944;22.7028;23.7438;22.8405;23.6954;27.9251;30.2041;25.4687;26.916;29.178
Colombia;;14.533;14.549;18.32;18.303;20.508;21.805;25.411;21.581;24.82;26.902;27.474;27.422;22.499;27.996;32.269;32.224;35.631;31.87;31.034;33.893;32.276;32.003;34.145;36.332;40.218;39.9793;42.9298;44.6037;46.5508;41.2651
Costa Rica;;2.098;2.261;2.362;2.805;2.979;2.749;2.866;2.974;3.02;3.287;3.348;3.629;3.552;3.92;4.232;3.979;4.284;5.364;4.868;5.948;6.726;6.7187;7.228;7.227;7.876;7.8462;8.0209;8.182;8.6535;8.689
Cuba;;0.996;0.959;1.043;1.062;1.069;1.053;1.158;1.144;1.272;1.281;1.203;1.304;1.38;0.921;0.899;0.733;0.974;0.959;0.836;0.9421;0.9891;0.9651;0.9961;0.8081;0.83782;0.4681;0.4836;0.51529;0.687;0.6594
Dominica;;0.009;0.01;0.009;0.015;0.016;0.014;0.013;0.014;0.016;0.016;0.016;0.016;0.016;0.016;0.017;0.019;0.019;0.02;0.027;0.032;0.032;0.027;0.03;0.029;0.034;0.027;0.027;0.021;0.02;0.0205
Dominican Republic;;0.646;0.883;0.831;0.863;0.639;1.074;0.94;0.99;0.87;0.623;0.416;0.577;0.554;1.151;0.571;0.637;0.892;0.704;0.756;1.123;0.79;0.732;0.908;1.236;1.667;1.9355;1.7775;1.7371;1.4115;1.492
Ecuador;;0.878;0.783;0.89;1.712;3.163;3.761;4.27;4.486;4.741;4.867;4.937;5.025;4.924;5.752;6.499;5.109;6.281;6.469;6.441;7.105;7.533;7;7.45;7.10862;7.33758;6.85204;7.57394;9.66904;11.58114;9.47304
El Salvador;;1.543;1.541;1.662;1.478;1.712;1.595;1.612;1.563;1.728;1.867;1.831;1.245;1.361;1.522;1.567;1.872;2.283;1.889;1.991;2.33;1.922;2.078;2.086;2.457;2.382;2.717;3.152;3.152;3.598;3.07
Falkland Islands (Islas Malvinas);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0.0002;0.0002;0.00025;0.00025;0.00025;0.0003;0.0003;0.002;0.002
French Guiana;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01
Grenada;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guadeloupe;;0;0;0;0;0;0;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.0307;0.0307;0.0307;0.031;0.035;0.04;0.04;0.05;0.05;0.06;0.15;0.15;0.15;0.15;0.15;0.15;0.15
Guatemala;;0.567;0.394;0.54;0.855;0.657;0.729;1.758;1.748;1.906;2.156;2.457;2.509;2.214;2.331;2.47;2.174;2.582;2.964;2.267;3.068;3.268;2.911;2.687;3.522;4.773;5.1952;4.9038;4.321;4.87;3.559
Guyana;;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.006;0.006;0;0;0;0;0;0;0;0;0;0
Haiti;;0.229;0.234;0.258;0.268;0.278;0.307;0.334;0.332;0.332;0.332;0.368;0.345;0.318;0.271;0.231;0.25;0.269;0.198;0.303;0.265;0.28;0.28;0.257;0.252;0.257;0.262;0.268;0.152;0.179;0.205
Honduras;;0.772;0.821;0.846;0.831;0.865;0.866;1.272;1.131;1.739;1.825;2.066;2.098;2.17;2.241;1.8;1.656;2.019;2.064;1.904;2.11;2.238;1.894;1.609;1.758;1.4392;1.8378;2.1839;2.3516;2.4551;2.9286
Jamaica;;0.172;0.171;0.187;0.204;0.134;0.124;0.163;0.186;0.184;0.214;0.202;0.164;0.195;0.209;0.234;0.212;0.222;0.233;0.21;0.212;0.212;0.139;0.122;0.175;0.197;0.2315;0.2512;0.2424;0.2296;0.1955
Martinique;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0.002;0.002;0.002;0.002
Montserrat;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Netherlands Antilles;;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.007;0.007;0.007;0.007;0.007;0.007;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.06
Nicaragua;;0.54;0.523;0.455;0.349;0.533;0.561;0.465;0.598;0.591;0.938;0.799;0.764;0.694;0.858;0.709;0.683;0.681;0.607;0.439;0.512;0.361;0.419;0.586;0.664;0.678;0.869;0.775;0.753;1.01947;0.874
Panama;;0.995;1.464;1.224;0.998;1.62;2.006;2.179;2.107;2.305;2.226;2.238;2.084;1.912;2.295;2.393;2.408;2.99;2.894;2.141;3.122;3.407;2.496;3.384;2.815;3.764;3.7088;3.563;3.648;3.9511;3.876
Paraguay;;0.717;0.754;0.675;0.791;0.903;4.065;11.908;18.499;19.899;24.229;27.204;29.368;27.157;31.127;36.048;41.702;44.858;50.343;50.362;51.444;52.957;44.864;47.73;51.253;51.412;50.654;53.246;53.188;54.909;54.409
Peru;;7.115;8.092;8.586;8.29;8.747;9.594;10.248;10.978;10.487;10.452;10.497;11.499;9.812;11.781;12.741;12.834;13.321;13.217;13.786;14.522;16.15705;17.59305;18.04405;18.54405;17.50305;18.24195;19.86335;19.78255;19.43025;20.64125
Puerto Rico;;0.204;0.124;0.104;0.11;0.135;0.183;0.223;0.257;0.272;0.272;0.13671;0.11906;0.13512;0.12033;0.06744;0.08692;0.13503;0.10193;0.10323;0.15871;0.152;0.133;0.114;0.103;0.141;0.13828;0.142;0.164;0.156;0.174
Saint Kitts and Nevis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Lucia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Vincent/Grenadines;;0.017;0.017;0.018;0.018;0.022;0.026;0.028;0.031;0.035;0.036;0.024;0.013;0.02;0.023;0.021;0.021;0.021;0.021;0.022;0.022;0.025;0.019;0.022;0.021;0.027;0.026;0.02296;0.02249;0.02344;0.023
Suriname;;0.883;0.825;1.051;0.714;0.846;0.962;0.756;0.323;0.485;1.087;1.171;1.393;1.437;1.45;1.463;1.279;1.281;1.289;1.294;1.311;0.71;0.725;0.741;0.752;0.764;0.821;0.862;0.862;0.875;0.9
Trinidad and Tobago;;0.025;0.018;0.017;0.015;0.012;0.016;0.025;0.029;0.026;0.025;0.029;0.024;0.029;0.027;0.03;0.031;0.016;0.017;0.017;0.017;0.019;0.028;0.025;0.011;0.0218;0.0209;0.0247;0.018;0.019;0.018
Turks and Caicos Islands;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uruguay;;2.249;2.52;2.421;7.115;7.033;6.384;7.217;7.186;5.364;3.861;6.938;6.051;7.842;7.225;7.391;5.796;5.71;6.421;9.062;5.445;6.981;9.104;9.442;8.446;4.733;6.618;3.56;7.988;4.463;5.237
Venezuela;;14.438;14.933;15.834;18.308;19.46;21.825;24.907;30.535;33.861;34.319;36.613;44.088;46.789;46.994;50.761;50.926;53.306;56.695;57.376;59.949;62.198;59.845;58.94;60.025;69.228;74.275;81.292;83.032;86.705;85.839
Virgin Islands,  U.S.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Virgin Islands, British;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;;471.876;477.686;473.439;486.566;495.141;490.966;474.915;508.657;552.431;484.1378;494.4953;496.86565;534.78695;554.84247;562.76876;579.09442;567.78373;590.27102;617.0591;628.56652;659.04449;668.38815;640.68474;619.26832;680.706;699.84802;715.77281;754.02897;804.98229;834.53059
Albania;;2.919;3.018;3.093;3.167;3.241;3.315;3.365;3.979;3.713;3.846;2.82;3.483;3.187;3.281;3.733;4.162;5.669;4.978;4.872;5.231;4.548;3.519;3.477;5.117;5.411;5.319;4.951;2.76;3.759;5.179
Austria;;28.809;30.323;30.398;30.104;29.145;31.17;31.42;26.257;36.146;35.691;32.291;32.304;35.787;37.67;36.534;38.508;35.593;37.503;38.656;41.9739;43.1748;41.6997;41.40535;34.78815;39.088;40.1202;40.4017;42.7954;44.2276;47.3115
Belgium;;0.559;0.653;0.574;0.539;0.567;0.58;0.792;0.936;0.926;0.916;0.958;1.001;1.172;1.09;1.18955;1.334;1.242;1.16355;1.34911;1.491;1.739;1.976;1.989;1.8706;2.3;2.6691;3.6543;4.316;5.224;6.428
Bosnia and Herzegovina;;--;--;--;--;--;--;--;--;--;--;--;--;3.374;2.343;3.424;3.607;5.104;4.608;4.511;5.477;5.043;5.129;5.215;4.456;5.919;5.938;5.798;3.961;4.506;6.177
Bulgaria;;3.674;3.58;3.018;3.318;3.226;2.214;2.302;2.512;2.569;2.662;1.859;2.417;2.042;1.923;1.453;2.291;2.89;2.726;3.068;2.753;2.66;1.73;2.182;3.005;3.155;4.3148;4.2216;2.8954;2.9271;3.7456
Croatia;;--;--;--;--;--;--;--;--;--;--;--;--;4.304;4.32;4.887;5.217;7.166;5.236;5.408;6.526;5.795;6.483;5.311;4.827;6.894;6.2925;5.9685;4.2349;5.2219;6.7387
Cyprus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.003;0.013;0.014
Czech Republic;;--;--;--;--;--;--;--;--;--;--;--;--;--;1.62785;1.83385;2.38485;2.318;2.18401;1.95;2.454;2.4274;2.71;3.1239;1.8448;2.6925;3.077;3.4533;3.3306;3.6353;4.5232
Denmark;;0.03;0.031;0.028;0.06;0.067;0.087;0.165;0.212;0.334;0.471;0.827;1.067;1.39325;1.6993;1.873;2.018;2.305;3.146;4.10573;4.62;5.82;6.12;7.046;8.306;9.663;10.0982;9.5275;10.5424;10.4104;10.2277
Faroe Islands;;0.049;0.049;0.049;0.049;0.049;0.049;0.049;0.049;0.062;0.071;0.074;0.074;0.083;0.07342;0.07561;0.07557;0.07014;0.07562;0.07705;0.07001;0.07579;0.0757;0.09609;0.08782;0.10095;0.10832;0.11491;0.11917;0.10789;0.10649
Finland;;10.115;13.518;12.958;13.445;13.115;12.211;12.266;13.658;13.229;12.9;10.75;13.066;19.66;19.0058;17.81865;19.08545;17.58945;19.90873;24.13;20.96055;23.026;21.395;20.355;19.24835;25.133;22.9911;21.89;23.8144;27.2728;21.3252
Former Czechoslovakia;;4.8;4.2;3.7;3.9;3.2;4.3;4;4.853;4.355;4.229;3.919;3.119;3.602;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Former Serbia and Montenegro;;--;--;--;--;--;--;--;--;--;--;--;--;11.23;10.395;11.016;12.071;14.266;12.636;12.763;13.243;11.88;12.326;11.633;9.752;11.01;11.912;--;--;--;--
Former Yugoslavia;;27.868;25.044;23.295;21.623;25.645;24.363;27.474;25.98;25.612;23.256;19.601;18.929;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
France;;69.375;71.586;70.244;68.771;65.465;61.57;62.356;70.041;75.34;47.783;54.911;58.57695;70.65695;66.512;80.449;74.853;67.237;66.2842;64.6269;75.421;70.4669;78.6392;65.116;64.0863;65.1186;57.43;62.8907;67.1842;74.6556;70.483
Germany;;--;--;--;--;--;--;--;--;--;--;--;20.2759;23.39785;24.1907;27.6016;30.2835;31.234;27.96443;30.623;32.629;38.39;44.283;50.344;51.14;60.8615;62.2302;71.2842;88.9634;91.2524;95.2281
Germany, East;;1.658;1.718;1.748;1.683;1.748;1.758;1.767;1.726;1.719;1.551;1.389;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Germany, West;;22.29;22.629;22.419;20.759;20.75;19.673;20.717;22.158;22.433;21.079;20.553;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Gibraltar;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;;3.396;3.398;3.551;2.331;2.852;2.792;3.222;2.77;2.359;1.889;1.753;3.07;2.3186;2.39165;2.67915;3.6253;4.4501;3.98438;3.8985;4.886;4.239;2.967;3.612;5.92195;5.941;6.381;7.5531;4.4916;5.6131;7.9657
Hungary;;0.111;0.166;0.158;0.153;0.179;0.153;0.152;0.167;0.167;0.156;0.208;0.238;0.242;0.237;0.245;0.258;0.291;0.30284;0.25845;0.292;0.29;0.304;0.262;0.3568;0.922;1.853;1.5511;1.9361;2.3562;2.8643
Iceland;;3.103;3.217;3.575;3.77;3.921;3.848;4.058;4.152;4.414;4.474;4.447;4.43085;4.4855;4.664;4.717;4.9105;5.0527;5.51118;6.18725;7.0662;7.54885;7.89;8.268;8.353;8.47385;8.5281;9.7214;11.712;16.1401;16.4813
Ireland;;0.833;0.855;0.792;0.776;0.68;0.824;0.91;0.673;0.862;0.684;0.69;0.738;0.81375;0.78425;0.94205;0.7362;0.7543;0.79572;1.14855;1.102;1.16;0.999;1.35;1.1053;1.34985;1.8049;2.3805;2.6455;3.4015;3.8737
Italy;;48.79;46.109;44.587;44.193;45.227;43.668;44.142;42.765;43.998;36.8098;34.5586;45.0285;45.54695;45.0418;48.0328;41.40875;46.13735;46.45682;46.9063;51.849;51.34375;54.99965;48.975;44.89705;55.1197;49.9242;52.1125;49.2231;59.4032;70.065
Luxembourg;;0.115;0.128;0.117;0.115;0.123;0.104;0.116;0.143;0.141;0.108;0.102;0.119;0.099;0.104;0.156;0.137;0.099;0.12885;0.167;0.149;0.198;0.19895;0.18095;0.166;0.22125;0.2304;0.2705;0.2945;0.3119;0.2969
Macedonia;;--;--;--;--;--;--;--;--;--;--;--;--;0.817;0.517;0.696;0.793;0.842;0.891;1.072;1.375;1.158;0.62;0.749;1.36;1.467;1.477;1.634;1;0.832;1.257
Malta;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001
Montenegro;;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.745;1.64;1.53;2.041
Netherlands;;1;1;0.3;0.2;0.02;0.403;0.504;0.703;0.818;0.96;1.167;1.247;1.35995;1.56095;1.72595;2.18915;2.79615;3.14433;3.423;3.707;4.237;4.512;5.224;5.252;6.499;8.5829;9.1347;8.8054;10.5841;11.8907
Norway;;82.717;91.876;91.507;104.704;104.895;101.473;95.37;102.381;107.97;117.423;120.225;109.297;115.79185;118.34885;110.74955;120.4895;102.93364;109.246;114.59345;120.614;137.8555;117.531;128.53525;105.214;108.487;135.2091;119.2514;133.6661;138.9927;126.1174
Poland;;2.715;2.487;1.904;2.108;1.864;2.342;2.033;1.952;2.054;1.815;1.647;1.826;1.893;1.82;2.052;2.21195;2.294;2.5109;2.8528;2.6148;2.614;3.043;3.16;2.476;3.3169;3.9673;4.3852;5.4739;6.5552;8.565
Portugal;;8.177;5.229;7.155;8.282;9.964;11.033;8.94;9.588;12.657;6.349;9.7257;9.72665;5.4465;9.3242;11.48645;9.25505;15.5929;14.04445;13.96495;8.5828;12.92195;15.75795;9.806;17.712;12.3473;8.3263;15.6667;16.0823;14.4535;17.991
Romania;;12.506;12.605;11.731;9.934;11.208;11.774;10.689;11.086;13.481;12.499;10.872;14.107;11.637;12.706;12.916;16.529;15.597;17.344;18.7;18.107;14.63;14.774;15.889;13.129;16.352;20.012;18.1758;15.8421;17.0505;15.587
Serbia;;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.855;9.937;9.468;10.139
Slovakia;;--;--;--;--;--;--;--;--;--;--;--;--;--;3.432;4.311;4.831;4.185;4.053;4.235;4.458;4.599;5.049;5.384;3.5731;4.117;4.6699;4.81;4.9351;4.5519;4.8919
Slovenia;;--;--;--;--;--;--;--;--;--;--;--;--;3.379;2.974;3.348;3.187;3.616;3.046;3.4;3.713;3.838;3.809;3.362;3.038;4.153;3.521;3.6472;3.3271;4.2374;4.828
Spain;;29.504;22.043;26.453;27.228;31.611;31.475;26.616;27.551;35.399;19.666;25.838;27.6899;19.4664;24.9318;28.85875;24.40975;41.2012;37.13125;37.02125;27.5958;35.7771;48.9268;34.3204;55.49115;49.727;40.8491;51.0762;57.1332;60.8461;71.708
Sweden;;58.873;59.912;55.358;64.207;68.906;71.849;62.072;72.878;71.023;73.112;73.577;64.343;75.566;76.076;60.734;69.81905;53.4424;71.255;77.447;74.053;82.359;82.5489;70.4925;58.2459;67.9309;80.9052;70.9327;76.9815;80.9418;79.1477
Switzerland;;32.681;35.53;36.374;35.469;30.271;32.031;32.976;34.828;35.937;29.977;30.297;32.55695;33.2749;36.3198;39.68275;35.8227;29.5656;35.01207;34.5466;41.11555;38.1793;42.6104;36.6803;36.292;35.3327;32.9397;32.8851;37.1388;38.0264;37.7355
Turkey;;11.288;12.413;13.81;11.13;13.209;11.826;11.674;18.364;28.509;17.666;22.993;22.56895;26.4135;33.7381;30.40305;35.4787;40.3168;39.77569;42.12221;34.55695;30.8822;24.135;33.657;35.23;45.865;39.4259;44.157;36.1825;34.0996;37.728
United Kingdom;;3.921;4.369;4.543;4.548;3.993;4.081;4.768;6.295;6.204;6.095;6.443;5.566;6.347;5.74;7.145;7.11245;5.933;7.224;8.975;9.87995;10.16795;11.6269;13.484;12.92605;15.737;18.7396;19.671;20.6613;22.3741;25.868
Eurasia;;184.025;184.993;175.46;180.186;203.155;205.046;213.477;217.466;228.512;221.024;230.697;232.679;231.881;241.859;247.097;237.091;213.947;215.499;223.076;226.385;228.4701;238.1606;226.90995;224.7016;249.2939;248.33619;248.5614;247.49108;238.42743;235.0586
Armenia;;--;--;--;--;--;--;--;--;--;--;--;--;3.013;4.249;3.479;1.9;1.556;1.376;1.522;1.188;1.248;0.958;1.641;1.962;1.978;1.755;1.808;1.83678;1.78093;2.0028
Azerbaijan;;--;--;--;--;--;--;--;--;--;--;--;--;1.73;2.376;1.811;1.54;1.523;1.695;1.931;1.491;1.519;1.288;2;2.444;2.727;2.979;2.493;2.34;2.21;2.285
Belarus;;--;--;--;--;--;--;--;--;--;--;--;--;0.017;0.019;0.019;0.02;0.016;0.021;0.028;0.019;0.027;0.03;0.028;0.028;0.034;0.064;0.124;0.12;0.116;0.175
Estonia;;--;--;--;--;--;--;--;--;--;--;--;--;0.001;0.001;0.003;0.008;0.007;0.011;0.016;0.016;0.018;0.018;0.029;0.048;0.059;0.1063;0.1242;0.1387;0.1885;0.52
Former U.S.S.R.;;184.025;184.993;175.46;180.186;203.155;205.046;213.477;217.466;228.512;221.024;230.697;232.679;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Georgia;;--;--;--;--;--;--;--;--;--;--;--;--;6.439;6.536;6.704;5.151;5.94;5.987;6.308;6.378;5.801;5.487;6.699;6.461;5.989;6.174;5.262;6.75;7.09;7.338
Kazakhstan;;--;--;--;--;--;--;--;--;--;--;--;--;6.797;7.553;9.087;8.248;7.258;6.434;6.08;6.071;7.456;8;8.801;8.539;7.976;7.777;7.691;8.09;7.386;6.811
Kyrgyzstan;;--;--;--;--;--;--;--;--;--;--;--;--;9.195;8.994;11.607;11.007;12.132;10.825;9.844;12.021;13.546;12.306;10.679;13.381;13.953;14.116;14.738;13.809;10.633;9.811
Latvia;;--;--;--;--;--;--;--;--;--;--;--;--;2.498;2.846;3.272;2.908;1.842;2.923;2.992;2.731;2.795;2.811;2.458;2.312;3.1606;3.3766;2.7546;2.7962;3.1738;3.5191
Lithuania;;--;--;--;--;--;--;--;--;--;--;--;--;0.308;0.389;0.447;0.369;0.323;0.291;0.413;0.409;0.336;0.324;0.354;0.33;0.424;0.45509;0.4291;0.568;0.5879;0.6669
Moldova;;--;--;--;--;--;--;--;--;--;--;--;--;0.255;0.371;0.275;0.321;0.362;0.378;0.083;0.09;0.057;0.072;0.12;0.063;0.058;0.062;0.076;0.033;0.081;0.054
Russia;;--;--;--;--;--;--;--;--;--;--;--;--;171.912;173.36;174.784;175.186;153.3;156.501;158.384;160.887;164.9041;174.9736;163.40995;156.2386;176.1703;173.8522;174.6665;177.6424;165.9783;165.2268
Tajikistan;;--;--;--;--;--;--;--;--;--;--;--;--;15.769;16.947;16.524;14.45;14.677;13.576;14.008;15.273;13.774;14.064;15.012;16.173;16.176;16.797;16.534;16.943;16.642;15.642
Turkmenistan;;--;--;--;--;--;--;--;--;--;--;--;--;0.004;0.005;0.004;0.004;0.005;0.005;0.006;0.005;0.005;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
Ukraine;;--;--;--;--;--;--;--;--;--;--;--;--;7.725;10.929;11.997;9.853;8.546;9.757;15.761;14.18;11.167;11.927;9.552;9.175;11.666;12.275;12.79;10.085;11.311;11.767
Uzbekistan;;--;--;--;--;--;--;--;--;--;--;--;--;6.218;7.284;7.084;6.126;6.46;5.719;5.7;5.626;5.817;5.899;6.124;7.544;8.92;8.544;9.068;6.336;11.246;9.237
Middle East;;9.619;10.318;10.556;10.06;10.743;10.762;10.118;10.404;10.508;10.486;9.646;10.458;13.332;13.655;11.305;11.005;11.252;10.943;11.039;8.577;7.947;9.41;12.743;15.633;16.429;20.9544;23.3819;22.599;9.0105;10.5743
Bahrain;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.002
Iran;;5.561;6.164;6.38;6.138;6.268;6.27;6.136;6.336;6.386;6.633;6.022;6.985;9.435;9.725;7.371;7.202;7.326;6.857;6.961;4.906;3.625;5.026;8.004;10.987;10.528;15.946;18.183;17.947;5.146;7.369
Iraq;;0.683;0.683;0.604;0.594;0.604;0.604;0.594;0.604;0.703;0.594;0.604;0.307;0.693;0.594;0.554;0.564;0.564;0.575;0.587;0.599;0.605;0.612;0.512;0.429;0.488;0.459;0.481;0.501;0.555;0.51
Israel;;0;0;0;0;0;0;0;0.01;0.01;0.003;0.003;0.006;0.029;0.03;0.03;0.025;0.024;0.025;0.025;0.033;0.031;0.02;0.031;0.042;0.038;0.0384;0.0169;0.015;0.0245;0.0933
Jordan;;0;0;0;0;0;0;0.003;0.019;0.027;0.017;0.019;0.008;0.016;0.023;0.015;0.019;0.023;0.02;0.016;0.017;0.042;0.046;0.06;0.05;0.061;0.064;0.059;0.072;0.072;0.068
Kuwait;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lebanon;;0.841;0.841;0.643;0.554;0.579;0.579;0.554;0.604;0.594;0.495;0.297;0.495;0.545;0.713;0.809;0.71;0.79;0.892;0.777;0.329;0.445;0.33;0.671;1.349;1.109;1.036;0.688;0.579;0.369;0.616
