Table: Total Primary Energy Production (Quadrillion Btu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
Guatemala;;0.01677;0.01497;0.01867;0.02417;0.01774;0.01413;0.02921;0.02689;0.02621;0.03117;0.03424;0.03574;0.03324;0.03923;0.0435;0.04304;0.05463;0.06412;0.07471;0.08195;0.07835;0.07584;0.0664;0.08381;0.09096;0.08918;0.09237;0.07704;0.08178;0.06406
Guyana;;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00005;0.00006;0.00006;0;0;0;0;0;0;0;0;0;0
Haiti;;0.00238;0.00245;0.0027;0.00282;0.0029;0.00321;0.00349;0.00346;0.00343;0.00346;0.00383;0.0036;0.00329;0.00279;0.00238;0.00258;0.00278;0.00202;0.00309;0.00271;0.00286;0.00289;0.00261;0.00258;0.00258;0.00262;0.00266;0.0015;0.00176;0.002
Honduras;;0.00802;0.00858;0.00884;0.00874;0.00903;0.00905;0.01329;0.01178;0.01795;0.01904;0.02149;0.02189;0.02244;0.0231;0.01857;0.01708;0.02088;0.02108;0.01942;0.02158;0.02283;0.01957;0.01637;0.018;0.01442;0.01838;0.02166;0.02324;0.02419;0.02858
Jamaica;;0.00179;0.00179;0.00195;0.00215;0.0014;0.0013;0.0017;0.00194;0.0019;0.00223;0.0021;0.00171;0.00202;0.00215;0.00241;0.00219;0.0023;0.00238;0.00214;0.00217;0.00216;0.00144;0.00124;0.00179;0.00197;0.00231;0.00249;0.0024;0.00226;0.00191
Martinique;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00002;0.00002;0.00002;0.00002;0.00002
Montserrat;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Netherlands Antilles;;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00001;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00031;0.00031;0.00031;0.00031;0.0003;0.0003;0.0003;0.0003;0.0003;0.00059
Nicaragua;;0.00561;0.00547;0.00476;0.00367;0.00556;0.00586;0.00486;0.00623;0.0061;0.00979;0.00831;0.00797;0.00718;0.00885;0.00731;0.00704;0.00704;0.0062;0.00448;0.00524;0.00368;0.00433;0.00596;0.0068;0.00679;0.00869;0.00769;0.00744;0.01005;0.00853
Panama;;0.01034;0.0153;0.0128;0.0105;0.01691;0.02096;0.02276;0.02195;0.0238;0.02322;0.02328;0.02175;0.01977;0.02366;0.02469;0.02483;0.03092;0.02956;0.02183;0.03193;0.03475;0.02579;0.03443;0.02883;0.03772;0.03708;0.03534;0.03606;0.03893;0.03783
Paraguay;;0.00745;0.00788;0.00706;0.00832;0.00943;0.04247;0.12439;0.19274;0.20544;0.25276;0.28298;0.30648;0.28086;0.32089;0.37187;0.43003;0.46383;0.51415;0.51354;0.52607;0.54021;0.46358;0.48556;0.52488;0.51525;0.50649;0.52815;0.52571;0.54107;0.53103
Peru;;0.53914;0.55663;0.56237;0.50417;0.53734;0.55963;0.54358;0.51177;0.4549;0.4267;0.4051;0.38451;0.36975;0.42517;0.43888;0.44168;0.4272;0.39687;0.40234;0.38987;0.38705;0.39929;0.40303;0.40176;0.39865;0.45647;0.48757;0.51231;0.55202;0.63002
Puerto Rico;;0.00212;0.0013;0.00109;0.00116;0.00141;0.00191;0.00233;0.00268;0.00281;0.00284;0.00142;0.00124;0.0014;0.00124;0.0007;0.0009;0.0014;0.00104;0.00105;0.00162;0.00155;0.00137;0.00116;0.00105;0.00141;0.00138;0.00141;0.00162;0.00154;0.0017
Saint Kitts and Nevis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Lucia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Vincent/Grenadines;;0.00018;0.00018;0.00019;0.00019;0.00023;0.00027;0.00029;0.00032;0.00036;0.00038;0.00025;0.00014;0.00021;0.00024;0.00022;0.00022;0.00022;0.00021;0.00022;0.00022;0.00026;0.0002;0.00022;0.00022;0.00027;0.00026;0.00023;0.00022;0.00023;0.00022
Suriname;;0.00917;0.00862;0.01099;0.00751;0.00883;0.01236;0.01251;0.00798;0.01195;0.02057;0.02118;0.02261;0.02643;0.02648;0.02893;0.02934;0.03059;0.0247;0.02934;0.03648;0.03038;0.03056;0.03061;0.03077;0.03079;0.03128;0.03531;0.03975;0.04527;0.0457
Trinidad and Tobago;;0.55003;0.61244;0.50248;0.48461;0.57552;0.61061;0.52843;0.4952;0.50726;0.50858;0.51503;0.54701;0.5143;0.53454;0.56086;0.58099;0.61575;0.62829;0.62522;0.73139;0.81516;0.84269;0.94349;1.25258;1.354;1.47732;1.71228;1.75801;1.76303;1.80612
Turks and Caicos Islands;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uruguay;;0.02336;0.02634;0.02531;0.07485;0.07342;0.06669;0.07539;0.07487;0.05538;0.04028;0.07217;0.06315;0.0811;0.07448;0.07625;0.05977;0.05904;0.06558;0.09241;0.05568;0.07121;0.09407;0.09605;0.0865;0.04743;0.06617;0.03531;0.07895;0.04398;0.05111
Venezuela;;5.76591;5.66743;5.25069;5.03204;5.05581;4.8169;5.21455;5.16944;5.58386;5.76615;6.30585;6.96108;6.9551;7.26089;7.69874;8.07865;8.61848;9.4829;9.44805;8.53973;9.37129;9.22927;8.15865;7.32154;8.06083;8.00652;8.09031;7.70424;7.68533;7.22482
Virgin Islands,  U.S.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Virgin Islands, British;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;;40.17144;40.91303;42.37425;44.34965;44.75822;47.57808;48.5403;49.09558;49.25976;48.30888;46.84553;46.3792;46.36365;46.9079;48.06376;49.0016;51.64766;51.43666;50.39519;50.74545;50.50648;51.15258;50.93231;50.2626;50.26264;48.54389;47.27382;46.24429;46.3899;44.65156
Albania;;0.15556;0.15826;0.20594;0.23428;0.19082;0.19173;0.1966;0.20228;0.18613;0.19463;0.12711;0.09511;0.06442;0.06284;0.06766;0.06778;0.0827;0.07317;0.06576;0.06754;0.06085;0.05137;0.05187;0.06976;0.07157;0.07103;0.06866;0.04305;0.05283;0.06413
Austria;;0.47051;0.46393;0.46539;0.45463;0.43889;0.45569;0.45495;0.39712;0.49775;0.4985;0.46244;0.46861;0.49427;0.511;0.48984;0.51753;0.48442;0.4917;0.512;0.54664;0.5636;0.55164;0.55107;0.48983;0.51204;0.50308;0.51096;0.53553;0.53555;0.56684
Belgium;;0.28175;0.39753;0.42596;0.47825;0.52898;0.59126;0.60838;0.58124;0.51676;0.49986;0.47799;0.47279;0.46306;0.44283;0.42525;0.43267;0.44906;0.48738;0.47556;0.50755;0.50243;0.48269;0.49067;0.48865;0.49325;0.49776;0.49582;0.51705;0.49971;0.52724
Bosnia and Herzegovina;;--;--;--;--;--;--;--;--;--;--;--;--;0.16728;0.13819;0.0476;0.08254;0.07641;0.12359;0.14306;0.15115;0.17616;0.17774;0.1897;0.19282;0.20527;0.20778;0.22252;0.21121;0.23376;0.24696
Bulgaria;;0.33975;0.36186;0.39343;0.4149;0.42863;0.40701;0.42949;0.44638;0.45712;0.4551;0.41266;0.3523;0.33124;0.34806;0.35646;0.39967;0.43258;0.41631;0.41817;0.37247;0.40541;0.40553;0.42745;0.39759;0.38827;0.4061;0.42057;0.38776;0.39817;0.38613
Croatia;;--;--;--;--;--;--;--;--;--;--;--;--;0.20176;0.21109;0.21515;0.20963;0.21586;0.1879;0.19221;0.18817;0.18173;0.18978;0.1652;0.17121;0.17928;0.16598;0.15965;0.15525;0.16185;0.17786
Cyprus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00001;0.00001;0.00003;0.00013;0.00014
Czech Republic;;--;--;--;--;--;--;--;--;--;--;--;--;--;1.20048;1.11528;1.06038;1.11282;0.89447;0.84042;0.75994;0.81345;0.83864;0.86814;0.91514;0.90936;0.89745;0.92085;1.06785;1.0504;1.00481
Denmark;;0.01278;0.0314;0.07281;0.09551;0.10792;0.16822;0.23852;0.30512;0.31139;0.36698;0.38165;0.4604;0.51276;0.55548;0.59409;0.6139;0.70775;0.81519;0.83772;0.97937;1.14176;1.11503;1.17503;1.17978;1.27973;1.29605;1.21435;1.1143;1.09557;0.97036
Faroe Islands;;0.00051;0.00051;0.00051;0.00052;0.00051;0.00051;0.00051;0.00051;0.00064;0.00074;0.00077;0.00077;0.00086;0.00076;0.00078;0.00078;0.00073;0.00077;0.00079;0.00072;0.00077;0.00078;0.00098;0.0009;0.00101;0.00108;0.00114;0.00118;0.00106;0.00104
Finland;;0.17443;0.2847;0.2995;0.31471;0.32141;0.31393;0.31468;0.33441;0.32778;0.32125;0.30103;0.32686;0.39138;0.39051;0.37351;0.38316;0.37075;0.39767;0.45798;0.43714;0.45289;0.44192;0.42328;0.41756;0.47218;0.45556;0.43927;0.46254;0.49139;0.43629
Former Czechoslovakia;;1.66636;1.64526;1.67563;1.72966;1.77445;1.80665;1.87446;1.91643;1.90232;1.84288;1.6751;1.55915;1.48033;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Former Serbia and Montenegro;;--;--;--;--;--;--;--;--;--;--;--;--;0.53634;0.51561;0.49311;0.44361;0.59975;0.58057;0.59725;0.49505;0.5067;0.50606;0.51366;0.50069;0.51473;0.46834;--;--;--;--
Former Yugoslavia;;1.04746;1.14904;1.1843;1.22998;1.35369;1.42134;1.46354;1.44013;1.45955;1.44267;1.3885;1.29072;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
France;;2.33296;2.66161;2.62741;2.96622;3.3718;3.5489;3.80346;3.95824;4.04951;4.03841;4.24594;4.44823;4.61243;4.83763;4.86327;4.94074;5.02718;4.92244;4.77534;4.9197;5.02264;5.14335;5.1278;5.15017;5.16642;5.09901;5.13671;5.06581;5.12885;4.78466
Germany;;--;--;--;--;--;--;--;--;--;--;--;6.35488;6.17284;5.84538;5.70831;5.65962;5.49246;5.56589;5.26057;5.31337;5.29978;5.28202;5.3018;5.28255;5.36351;5.24442;5.2468;5.16665;4.99414;4.7052
Germany, East;;2.423;2.50096;2.55479;2.60895;2.77718;2.92252;2.88311;2.85581;2.87731;2.78734;2.48737;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Germany, West;;4.77949;4.919;4.93276;4.81234;5.02623;5.3512;5.16001;5.1942;5.24192;5.12603;5.05376;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Gibraltar;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;;0.17449;0.21675;0.25165;0.26604;0.28754;0.30472;0.32362;0.35638;0.36877;0.37665;0.37067;0.39023;0.33151;0.35176;0.3471;0.35751;0.35223;0.3847;0.39515;0.38653;0.39931;0.39408;0.40439;0.41545;0.41671;0.41648;0.40315;0.37875;0.38588;0.40442
Hungary;;0.59967;0.59552;0.625;0.63092;0.65526;0.68746;0.67844;0.70189;0.69452;0.66335;0.60703;0.56839;0.55744;0.52715;0.52937;0.52197;0.51465;0.52664;0.47911;0.45877;0.45337;0.44878;0.418;0.3913;0.39654;0.39928;0.39502;0.38382;0.38737;0.40603
Iceland;;0.03223;0.03363;0.03737;0.03966;0.04094;0.0402;0.04239;0.04326;0.04557;0.04667;0.04626;0.04624;0.04639;0.04808;0.04866;0.05064;0.05224;0.05629;0.06309;0.07226;0.07701;0.08153;0.08411;0.08554;0.08492;0.08527;0.09643;0.11576;0.15904;0.16086
Ireland;;0.04282;0.0604;0.08291;0.08823;0.09175;0.09784;0.07078;0.0678;0.08177;0.08956;0.0906;0.09257;0.09219;0.10318;0.10643;0.10681;0.10344;0.09214;0.07372;0.0599;0.05409;0.03936;0.04359;0.0353;0.0439;0.03843;0.04171;0.04243;0.04913;0.05185
Italy;;1.08469;1.11703;1.16611;1.11838;1.16586;1.16672;1.25363;1.19188;1.26337;1.18802;1.18614;1.2828;1.31912;1.34914;1.42248;1.36001;1.42876;1.42344;1.40728;1.34736;1.32835;1.299;1.22269;1.18347;1.25802;1.1954;1.16211;1.08396;1.14696;1.16129
Luxembourg;;0.00119;0.00134;0.00122;0.00121;0.00128;0.00109;0.00121;0.00149;0.00146;0.00113;0.00106;0.00124;0.00102;0.00107;0.00161;0.00141;0.00102;0.00132;0.0017;0.00152;0.00202;0.00206;0.00184;0.0017;0.00222;0.0023;0.00268;0.00291;0.00307;0.0029
Macedonia;;--;--;--;--;--;--;--;--;--;--;--;--;0.06949;0.06584;0.06719;0.07159;0.07121;0.07484;0.08315;0.0792;0.06223;0.06078;0.06131;0.06621;0.06602;0.06351;0.06323;0.05599;0.06224;0.06487
Malta;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00001
Montenegro;;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.02864;0.02886;0.02817;0.03302
Netherlands;;3.15555;2.93671;2.53892;2.72447;2.76318;2.92124;2.7408;2.73001;2.4225;2.60429;2.63432;2.9497;2.92659;2.97646;2.91207;2.90903;3.2494;2.88178;2.7693;2.55533;2.47329;2.62976;2.61565;2.52643;2.93932;2.70132;2.64867;2.64316;2.881;2.71954
Norway;;2.92913;3.02015;3.01558;3.43669;3.67444;3.77109;3.91;4.33576;4.68478;5.58781;5.80414;6.17531;6.86337;7.12082;7.77414;8.34725;9.25904;9.58627;9.32859;9.53274;10.27038;10.27899;10.69044;10.64489;10.79357;10.65648;10.12311;9.91857;10.12534;9.88566
Poland;;4.78572;4.08336;4.65675;4.72645;4.80354;4.86512;4.9189;4.97737;4.97228;4.60421;3.86012;3.72186;3.65862;3.67112;3.72322;3.58814;3.82801;3.83338;3.3563;3.50287;3.05622;3.07343;3.07658;3.05604;3.03563;2.96503;2.89683;2.72001;2.65569;2.50869
Portugal;;0.08783;0.05765;0.0777;0.09014;0.10718;0.11913;0.09723;0.10414;0.13441;0.07043;0.10503;0.10522;0.05937;0.09883;0.12052;0.09544;0.16123;0.14344;0.1424;0.08777;0.13182;0.16283;0.09976;0.18139;0.12374;0.08325;0.1554;0.15896;0.14242;0.17559
Romania;;2.2898;2.35684;2.47625;2.57569;2.51444;2.41449;2.48679;2.48799;2.47888;2.28382;1.87267;1.62151;1.50613;1.45785;1.42327;1.44876;1.43002;1.40252;1.2524;1.20713;1.19067;1.25059;1.20091;1.13888;1.14453;1.15238;1.17849;1.16397;1.19273;1.13916
Serbia;;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.46917;0.45679;0.46574;0.46822
Slovakia;;--;--;--;--;--;--;--;--;--;--;--;--;--;0.23193;0.2422;0.23676;0.23512;0.22586;0.23145;0.24541;0.28353;0.29546;0.30536;0.2842;0.27468;0.28213;0.28496;0.25172;0.26613;0.24039
Slovenia;;--;--;--;--;--;--;--;--;--;--;--;--;0.13456;0.12521;0.12975;0.13854;0.13855;0.13672;0.13838;0.13864;0.13904;0.14001;0.14479;0.13949;0.15133;0.14596;0.14339;0.14008;0.15434;0.15403
Spain;;0.86618;0.91924;1.02635;1.13214;1.28212;1.3315;1.36727;1.35649;1.48623;1.43904;1.4249;1.43449;1.34014;1.33368;1.32639;1.18693;1.34681;1.27816;1.30314;1.25413;1.33279;1.5103;1.33022;1.50609;1.45199;1.27701;1.37789;1.36806;1.37145;1.3984
Sweden;;0.87311;0.98832;0.95362;1.07081;1.20975;1.30937;1.31774;1.40352;1.39002;1.39142;1.41354;1.40799;1.3916;1.37289;1.32796;1.38982;1.2638;1.39733;1.49432;1.45808;1.38897;1.54346;1.36931;1.24203;1.42277;1.50247;1.34533;1.40257;1.40977;1.27238
Switzerland;;0.47541;0.51526;0.52227;0.52057;0.49033;0.5489;0.55892;0.58063;0.59973;0.54193;0.55363;0.56811;0.57902;0.60831;0.65335;0.61237;0.55109;0.60557;0.60437;0.67255;0.64758;0.70196;0.63894;0.63994;0.61721;0.55717;0.59769;0.63962;0.64506;0.63851
Turkey;;0.42914;0.46927;0.51297;0.49122;0.54243;0.61885;0.70011;0.77913;0.80585;0.81742;0.85376;0.87044;0.94816;0.98959;0.94917;0.98513;1.04501;1.09831;1.16458;1.05759;1.00375;0.89649;0.94293;0.91906;1.00093;1.06443;1.15424;1.17309;1.19285;1.2305
United Kingdom;;8.65992;8.96749;9.5911;10.09708;8.8077;10.20138;10.64475;10.34599;10.00148;9.02875;9.00733;9.31326;9.10996;9.41511;10.20857;10.78149;11.56356;11.33091;11.52992;11.88887;11.08392;11.15719;10.99484;10.54855;9.48198;8.64193;7.86836;7.38702;7.02211;6.66358
Eurasia;;56.46276;56.85634;58.73827;60.25127;63.32875;65.26372;67.73998;69.72014;72.26761;71.89522;72.11085;66.43792;61.44276;57.62755;53.07688;51.90515;50.54278;48.91376;49.13743;51.57523;54.12845;55.77573;57.68665;61.35536;64.25051;66.04872;67.83291;69.32264;70.02629;66.07113
Armenia;;--;--;--;--;--;--;--;--;--;--;--;--;0.03116;0.0438;0.03589;0.01959;0.04071;0.03082;0.03217;0.03654;0.0343;0.0332;0.0412;0.04143;0.04568;0.04691;0.04633;0.04568;0.04497;0.04732
Azerbaijan;;--;--;--;--;--;--;--;--;--;--;--;--;0.77937;0.71728;0.6616;0.64496;0.65114;0.61945;0.73061;0.84005;0.83656;0.88026;0.87882;0.90504;0.88674;1.18042;1.65563;2.23136;2.51195;2.78701
Belarus;;--;--;--;--;--;--;--;--;--;--;--;--;0.09672;0.09666;0.09632;0.09377;0.08944;0.08557;0.08657;0.08654;0.08726;0.08704;0.08559;0.08427;0.08512;0.08206;0.08257;0.08231;0.08203;0.07803
Estonia;;--;--;--;--;--;--;--;--;--;--;--;--;0.17355;0.10059;0.10139;0.09128;0.13553;0.11215;0.10402;0.08922;0.0979;0.09883;0.10362;0.12458;0.11719;0.12265;0.11868;0.13923;0.13616;0.12956
Former U.S.S.R.;;56.46276;56.85634;58.73827;60.25127;63.32875;65.26372;67.73998;69.72014;72.26761;71.89522;72.11085;66.43792;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Georgia;;--;--;--;--;--;--;--;--;--;--;--;--;0.07624;0.07446;0.07644;0.05586;0.06428;0.06919;0.07146;0.07241;0.06583;0.06323;0.07191;0.07305;0.0652;0.06667;0.05487;0.06949;0.07251;0.07806
Kazakhstan;;--;--;--;--;--;--;--;--;--;--;--;--;3.64083;3.26044;2.60841;2.32566;2.40957;2.47204;2.4282;2.62636;3.38294;3.68688;3.98398;4.16245;4.65221;4.85781;5.12755;5.27458;5.54169;5.56239
Kyrgyzstan;;--;--;--;--;--;--;--;--;--;--;--;--;0.13306;0.12112;0.13597;0.12541;0.13669;0.12263;0.11087;0.13319;0.14957;0.1394;0.11938;0.14731;0.15075;0.15162;0.1563;0.14522;0.11543;0.10751
Latvia;;--;--;--;--;--;--;--;--;--;--;--;--;0.02583;0.02934;0.03375;0.02999;0.01905;0.02985;0.03051;0.02793;0.02851;0.02905;0.02501;0.02368;0.03168;0.03376;0.02732;0.02764;0.03127;0.03435
